X,Y,Z,,,,,
0.012673891,0.066140905,0.312000006,,,,,
0.011937175,0.066140905,0.312000006,,,,,
0.013778963,0.066140905,0.312000006,,,,,
0.013778963,0.066877618,0.312000006,,,,,
0.01263327,0.065194562,0.311000019,,,,,
0.012714513,0.067091972,0.313000023,,,,,
0.011975436,0.067091972,0.313000023,,,,,
0.011898915,0.065194562,0.311000019,,,,,
0.013734801,0.065194562,0.311000019,,,,,
0.010832103,0.066140905,0.312000006,,,,,
0.01263327,0.064460211,0.311000019,,,,,
0.012714513,0.067831047,0.313000023,,,,,
0.013367623,0.064460211,0.311000019,,,,,
0.011975436,0.067831047,0.313000023,,,,,
0.011898915,0.064460211,0.311000019,,,,,
0.010866822,0.067091972,0.313000023,,,,,
0.013823127,0.067831047,0.313000023,,,,,
0.010797385,0.065194562,0.311000019,,,,,
0.014884035,0.066877618,0.312000006,,,,,
0.014836331,0.065928914,0.311000019,,,,,
0.014836331,0.065194562,0.311000019,,,,,
0.010866822,0.067831047,0.313000023,,,,,
0.010797385,0.064460211,0.311000019,,,,,
0.00972703,0.066140905,0.312000006,,,,,
0.014056633,0.064252935,0.310000002,,,,,
0.015620751,0.067245975,0.312000006,,,,,
0.015570685,0.065194562,0.311000019,,,,,
0.014931741,0.068200588,0.313000023,,,,,
0.009758207,0.067091972,0.313000023,,,,,
0.009695854,0.065194562,0.311000019,,,,,
0.012755134,0.068789192,0.31400001,,,,,
0.012013696,0.068789192,0.31400001,,,,,
0.015937861,0.065928914,0.311000019,,,,,
0.014788625,0.064252935,0.310000002,,,,,
0.009758207,0.067831047,0.313000023,,,,,
0.009695854,0.064460211,0.311000019,,,,,
0.014056633,0.063520946,0.310000002,,,,,
0.012958644,0.063154951,0.310000002,,,,,
0.008990316,0.066140905,0.312000006,,,,,
0.011860655,0.063154951,0.310000002,,,,,
0.010901541,0.068789192,0.31400001,,,,,
0.013867291,0.06915991,0.31400001,,,,,
0.009019131,0.067091972,0.313000023,,,,,
0.014788625,0.063520946,0.310000002,,,,,
0.008961501,0.065194562,0.311000019,,,,,
0.015670819,0.068570122,0.313000023,,,,,
0.010762666,0.063154951,0.310000002,,,,,
0.016603036,0.067368761,0.312000006,,,,,
0.009019131,0.067831047,0.313000023,,,,,
0.008961501,0.064460211,0.311000019,,,,,
0.015886612,0.064252935,0.310000002,,,,,
0.016252609,0.064984933,0.310000002,,,,,
0.009789383,0.068789192,0.31400001,,,,,
0.017039392,0.065928914,0.311000019,,,,,
0.017039392,0.066663273,0.311000019,,,,,
0.014979446,0.069530636,0.31400001,,,,,
0.016409894,0.068570122,0.313000023,,,,,
0.008280055,0.067091972,0.313000023,,,,,
0.009664677,0.063154951,0.310000002,,,,,
0.007885243,0.066140905,0.312000006,,,,,
0.016984602,0.064984933,0.310000002,,,,,
0.009047946,0.068789192,0.31400001,,,,,
0.01709418,0.068351045,0.312000006,,,,,
0.015720883,0.069530636,0.31400001,,,,,
0.012795757,0.070123971,0.315000027,,,,,
0.010936258,0.069752075,0.315000027,,,,,
0.00785997,0.065194562,0.311000019,,,,,
0.012051957,0.070123971,0.315000027,,,,,
0.014011289,0.062221594,0.309000015,,,,,
0.007910516,0.067831047,0.313000023,,,,,
0.008932685,0.063154951,0.310000002,,,,,
0.015835367,0.06331604,0.309000015,,,,,
0.00785997,0.064460211,0.311000019,,,,,
0.007516886,0.066877618,0.312000006,,,,,
0.012916842,0.061856776,0.309000015,,,,,
0.017773746,0.067030445,0.311000019,,,,,
0.016779434,0.069309197,0.313000023,,,,,
0.011822395,0.061856776,0.309000015,,,,,
0.01474092,0.062221594,0.309000015,,,,,
0.015470552,0.062586412,0.309000015,,,,,
0.013911454,0.070495874,0.315000027,,,,,
0.017716594,0.065716922,0.310000002,,,,,
0.00982056,0.069752075,0.315000027,,,,,
0.015720883,0.070272073,0.31400001,,,,,
0.010727949,0.061856776,0.309000015,,,,,
0.017830895,0.068351045,0.312000006,,,,,
0.016929815,0.064045675,0.309000015,,,,,
0.007935789,0.068789192,0.31400001,,,,,
0.015027152,0.070495874,0.315000027,,,,,
0.012916842,0.061127145,0.309000015,,,,,
0.007956696,0.063276947,0.310000002,,,,,
0.00678017,0.066140905,0.312000006,,,,,
0.011822395,0.061127145,0.309000015,,,,,
0.016929815,0.06331604,0.309000015,,,,,
0.00678017,0.066877618,0.312000006,,,,,
0.017659444,0.064775303,0.309000015,,,,,
0.009633502,0.061856776,0.309000015,,,,,
0.018508101,0.067397624,0.311000019,,,,,
0.006758439,0.065194562,0.311000019,,,,,
0.008704862,0.069752075,0.315000027,,,,,
0.012583482,0.066104465,0.311680015,,0.000158344,0.0043698,0.097144432,0.318861374
,,,,,,,
0.012673891,0.066140905,0.312000006,,0.000160628,0.004374619,0.097344004,0.319185292
,,,,,,,
,,,,,,,0.000323918
